ts,Gen 1,Gen 2,Gen 3,Gen 4
26/02/2019 05:23:06,65.65014648,-2.572741747,66.6519928,48.95811081
26/02/2019 05:22:06,65.56385803,-2.569993258,66.65581512,48.87342072
26/02/2019 05:21:06,65.88807678,-2.56724453,66.23556519,48.74258423
26/02/2019 05:20:06,65.909935,-2.56449604,67.43515015,48.55618286
26/02/2019 05:19:06,65.71115112,-2.561747313,66.85398865,48.71096802
26/02/2019 05:18:06,65.62423706,-2.558998823,65.62651062,48.81229019
26/02/2019 05:17:06,65.6881485,-2.556250095,66.24259949,48.72169495
26/02/2019 05:16:06,65.78865814,-2.553501606,65.91592407,48.58408737
26/02/2019 05:15:06,65.4911499,-2.550752878,67.31058502,49.28960419
26/02/2019 05:14:06,65.04825592,-2.553825617,65.66527557,48.40934753
26/02/2019 05:13:06,64.97818756,-2.558676004,65.36952209,48.67485809
26/02/2019 05:12:06,64.37994385,-2.56352663,65.45223999,48.94036865
26/02/2019 05:11:06,65.37224579,-2.568377018,65.77084351,49.20587921
26/02/2019 05:10:06,65.78289795,-2.573227644,68.05853271,49.41101074
26/02/2019 05:09:06,66.17848969,-2.578078032,66.71440887,49.41074753
26/02/2019 05:08:06,66.57407379,-2.582928658,67.77177429,49.56211472
26/02/2019 05:07:06,66.5089035,-2.587779045,68.87740326,49.5541687
26/02/2019 05:06:06,66.09683228,-2.592629671,67.81650543,48.89523697
26/02/2019 05:05:06,65.81285858,-2.597480059,67.05955505,48.55747986
26/02/2019 05:04:06,65.59020233,-2.602330685,66.32143402,48.6537323
26/02/2019 05:03:06,64.91764832,-2.607181072,65.60074615,48.84780121
26/02/2019 05:02:06,64.59373474,-2.612031698,65.26460266,48.56109238
26/02/2019 05:01:06,65.75881195,-2.616882086,67.01691437,48.5005455
26/02/2019 05:00:06,65.29296875,-2.621732712,66.47790527,49.43220139
26/02/2019 04:59:06,64.815979,-2.626583099,65.25337219,48.40055466
26/02/2019 04:58:06,63.85606384,-2.631433725,65.33638,48.25083923
26/02/2019 04:57:06,64.10299683,-2.497582912,65.3515625,48.40335846
26/02/2019 04:56:06,63.11408997,-2.529394865,65.3515625,48.42173004
26/02/2019 04:55:06,64.70571136,-2.54955554,65.07728577,48.44010162
26/02/2019 04:54:06,64.71595001,-2.548847675,65.4201889,48.45847321
26/02/2019 04:53:06,64.70962524,-2.548139572,65.73342896,48.47684479
26/02/2019 04:52:06,64.37849426,-2.547431469,65.49913788,48.49521637
26/02/2019 04:51:06,63.77819824,-2.546723366,65.31624603,48.51358795
26/02/2019 04:50:06,64.38249207,-2.546015263,65.28239441,48.49729156
26/02/2019 04:49:06,64.26438141,-2.545307398,65.27650452,48.37766266
26/02/2019 04:48:06,63.10415649,-2.544599295,65.27060699,48.32218552
26/02/2019 04:47:06,63.01426697,-2.543891191,64.65119171,48.26584244
26/02/2019 04:46:06,64.13983917,-2.543183088,65.06678009,48.94140244
26/02/2019 04:45:06,63.04247665,-2.542474985,65.19991302,48.9155426
26/02/2019 04:44:06,62.90439606,-2.54176712,64.64935303,48.88968277
26/02/2019 04:43:06,63.10496902,-2.541059017,64.99777222,48.90831757
26/02/2019 04:42:06,63.93093872,-2.540350914,65.17134094,49.10844803
26/02/2019 04:41:06,64.46926117,-2.539642811,65.25434875,49.08940506
26/02/2019 04:40:06,62.93656921,-2.538934708,65.1346817,48.88469696
26/02/2019 04:39:06,62.76869965,-2.556526661,64.96964264,47.98588562
26/02/2019 04:38:06,62.78713989,-2.580238819,64.61548615,48.30309296
26/02/2019 04:37:06,62.8217926,-2.603950739,64.610466,48.00508881
26/02/2019 04:36:06,62.8564415,-2.627662659,65.00840759,48.05598068
26/02/2019 04:35:06,62.89109039,-2.651374578,64.22911072,48.64035416
26/02/2019 04:34:06,62.92573929,-2.675086498,63.76118851,47.64458084
